################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         42   0.0000000000000000E+00   2.4729374978233392E-02   2.3507271116421859E-03   3.0982278839414472E-03
         2         43   0.0000000000000000E+00   5.2613759299165876E-02   4.8757471351117587E-04   1.5873290139493393E-03
         2         44   0.0000000000000000E+00   4.8733751343448352E-02   7.8234072698192818E-04   2.6152750360264295E-03
         2         45   0.0000000000000000E+00   5.5620556497415270E-02   4.7955859565322690E-03   6.3082950746613346E-03
         2         46   0.0000000000000000E+00   6.3774078679170912E-02   1.6859948536054497E-03   4.3687913837760209E-03
         2         47   0.0000000000000000E+00   1.5306321261255459E-01   4.4392462729735079E-02   2.4618646015702413E-02
         2         48   0.0000000000000000E+00   9.4495844519533190E-02   6.9079703912756580E-03   8.9219199567083674E-03
         2         49   0.0000000000000000E+00   1.2810640820536201E-01   1.1963161672791107E-03   3.5620082946250437E-03
         2         50   0.0000000000000000E+00   1.5882627401349479E-03   2.2122799637869028E-05   7.9533950017391088E-05
         2         51   0.0000000000000000E+00   2.2206278762711110E-03   3.9648661788539107E-05   9.7768033960300422E-05
         2         52   0.0000000000000000E+00   6.7934064691572895E-03   5.2919824634021488E-05   2.1591908046830202E-04
         2         53   0.0000000000000000E+00   2.1313609889593021E-02   3.4023011236630649E-04   1.1303330367465024E-03
         2         54   0.0000000000000000E+00   2.8412820964042153E-02   2.2550286935392526E-03   2.9260719355963137E-03
         2         55   0.0000000000000000E+00   3.1964886818756380E-02   8.1131146010850305E-04   2.0849356023884794E-03
         2         56   0.0000000000000000E+00   7.6705016896199088E-02   2.1247145717702885E-02   1.2030683687109635E-02
         2         57   0.0000000000000000E+00   5.3217341266035931E-02   3.3831722864978613E-03   4.3720033662294220E-03
         2         58   0.0000000000000000E+00   5.9837980005572666E-02   5.5772977594678802E-04   1.6089592657433983E-03
         2         59   0.0000000000000000E+00   1.7099619212795108E-02   1.3373675657799738E-04   4.6867346246707062E-04
         2         60   0.0000000000000000E+00   1.4035220477920793E-02   1.8996070201366641E-04   6.7085932392199979E-04
         2         61   0.0000000000000000E+00   2.1970614970091239E-02   4.5942689053609065E-04   1.2566185336179330E-03
         2         62   0.0000000000000000E+00   3.0477704628288825E-02   1.9309950933934315E-03   2.5973677244390111E-03
         2         63   0.0000000000000000E+00   1.3295628956873497E-02   9.4902973879115954E-04   1.3083860575970093E-03
         2         64   0.0000000000000000E+00   3.2388703209206129E-02   2.4547093854139913E-04   8.0765351430440275E-04
         3          1   0.0000000000000000E+00   3.0534160472937533E-01   5.9413553326536736E-02   5.5205496240633770E-02
         3          2   0.0000000000000000E+00   4.3901553989464748E-01   9.4079653693434309E-02   7.9995353293547025E-02
         3          3   0.0000000000000000E+00   3.1798281289562502E-01   8.2327905514836514E-02   7.0680464707863572E-02
         3          4   0.0000000000000000E+00   2.3885378059727130E-01   5.1311193665897065E-02   4.6450752618266547E-02
         3          5   0.0000000000000000E+00   7.0133947151048884E-02   8.9561050802113556E-03   9.2188775901246266E-03
         3          6   0.0000000000000000E+00   9.7069598005848398E-02   1.6069769310372090E-02   1.4058973755064475E-02
         3          7   0.0000000000000000E+00   1.3197414625966261E-01   1.7909073119288785E-02   1.8459354200076508E-02
         3          8   0.0000000000000000E+00   8.2064372358295654E-02   7.0741679059407479E-03   8.2388562156680296E-03
         3          9   0.0000000000000000E+00   2.0345748609287795E+00   5.1212963555296065E-01   4.0770694730054591E-01
         3         10   0.0000000000000000E+00   3.0954795788567275E+00   7.8979109328002939E-01   6.7030926591258166E-01
         3         11   0.0000000000000000E+00   1.8888161332277413E+00   5.8466712404572796E-01   3.7605209710290732E-01
         3         12   0.0000000000000000E+00   2.7835818165473447E+00   7.3842819292981221E-01   5.5504326783370395E-01
         3         13   0.0000000000000000E+00   4.6389842936844943E+00   1.2195947635737043E+00   1.0521956160173949E+00
         3         14   0.0000000000000000E+00   3.7701957694063251E+00   1.2370540417578297E+00   7.7073366928985265E-01
         3         15   0.0000000000000000E+00   7.4445323574305877E-01   2.1799345969789896E-01   1.7916848525272844E-01
         3         16   0.0000000000000000E+00   1.2830126717283266E+00   3.6439798025378300E-01   3.1431995787328071E-01
         3         17   0.0000000000000000E+00   1.0398714360338936E+00   3.1385757809570497E-01   2.0548334095708556E-01
         3         18   0.0000000000000000E+00   6.8540120114541372E+00   1.7900468717451858E+00   1.3944736580731409E+00
         3         19   0.0000000000000000E+00   1.0930526222049565E+01   2.9370292831265608E+00   2.5006923095678366E+00
         3         20   0.0000000000000000E+00   8.5560428400554542E+00   2.7543737388107772E+00   1.7036123409294237E+00
         3         21   0.0000000000000000E+00   5.3797510210661255E+00   1.4564467145713771E+00   1.1348608491375949E+00
         3         22   0.0000000000000000E+00   7.1949767148699912E+00   2.3184025214409374E+00   1.4732693659886467E+00
         3         23   0.0000000000000000E+00   1.6282835166354959E+00   4.0113829015787866E-01   3.1969414816100139E-01
         3         24   0.0000000000000000E+00   2.4751725599835939E+00   7.0112427095097984E-01   6.0240880442212741E-01
         3         25   0.0000000000000000E+00   2.0238281177890109E+00   6.8302186271628806E-01   4.1342747964823739E-01
         3         26   0.0000000000000000E+00   2.9639184052866314E+00   7.7625953420670080E-01   6.2903793073547631E-01
         3         27   0.0000000000000000E+00   4.7109257010339460E+00   1.3265134953824385E+00   1.1487264168279763E+00
         3         28   0.0000000000000000E+00   3.9109542596250533E+00   1.2082606900461526E+00   7.8535642268923667E-01
         3         29   0.0000000000000000E+00   3.9531329681972709E+00   1.0553791212187806E+00   7.9383266992000445E-01
         3         30   0.0000000000000000E+00   5.4169077932845138E+00   1.7564401107521221E+00   1.0904673553252664E+00
         3         31   0.0000000000000000E+00   9.1490846784391213E-04   4.2650171722221661E-05   7.4388570904211485E-05
         3         32   0.0000000000000000E+00   1.7681128549340774E-03   7.2059982219523715E-05   1.1341889007690423E-04
         3         33   0.0000000000000000E+00   1.2904327253027601E-03   5.1036341079677039E-05   9.2845451841886033E-05
         3         34   0.0000000000000000E+00   7.8562068941600074E-04   3.4515506806960301E-05   6.3709843930108653E-05
         3         35   0.0000000000000000E+00   2.2201967365135925E-04   3.6935491961688861E-06   7.3575805024687720E-06
         3         36   0.0000000000000000E+00   2.6379508126063114E-04   6.5440025633146071E-06   1.3541077623476043E-05
         3         37   0.0000000000000000E+00   2.4759696433538810E-02   2.0498314219846402E-03   2.8204598323777869E-03
         3         38   0.0000000000000000E+00   2.0740167406732613E-02   2.6912311956807577E-03   3.1670777450624240E-03
         3         39   0.0000000000000000E+00   2.7787481096631657E-02   3.4605685364651200E-03   4.2036788091362335E-03
         3         40   0.0000000000000000E+00   5.6917290746817478E-02   5.1521134977589910E-03   6.3040818648431619E-03
         3         41   0.0000000000000000E+00   3.0141137754892605E-02   3.4359487833239533E-03   4.0561080203248530E-03
         3         42   0.0000000000000000E+00   6.2364291736539464E-02   4.0012284969516664E-03   5.2868794225557235E-03
         3         43   0.0000000000000000E+00   4.4528654327607761E-02   6.5528109241102458E-03   7.5390197832312014E-03
         3         44   0.0000000000000000E+00   7.9215391041690314E-02   1.0321649533237345E-02   1.1857070042270035E-02
         3         45   0.0000000000000000E+00   1.5740800851547485E-01   1.3812466190260470E-02   1.7203993699538137E-02
         3         46   0.0000000000000000E+00   9.4495844519533273E-02   1.0360498410079959E-02   1.1864152121384653E-02
         3         47   0.0000000000000000E+00   7.8667382783460790E-02   8.9127437267891522E-03   1.1679542290900999E-02
         3         48   0.0000000000000000E+00   1.3342844308868191E-02   1.3626405220454327E-03   2.0762599224796560E-03
         3         49   0.0000000000000000E+00   3.1080390238242225E-03   1.8136027158688838E-04   2.9629690495859833E-04
         3         50   0.0000000000000000E+00   2.9575484366936799E-03   2.4412831078829330E-04   3.0642184658718011E-04
         3         51   0.0000000000000000E+00   3.5195475659041530E-03   2.8318726819723245E-04   3.9172851366419981E-04
