# Ref: http://cst-www.nrl.navy.mil/lattice/prototype.html (21.03.2012)
#          Prototype  NrSpecies  Stochiometry   Pearson's     Struktur   SpaceGroup    Nr    Wyckoff  NrIrr     Notes
                Si34        1               1       cF136           --         Fd3m   227        aeg      3     Clathrate
                Si46        1               1        cP46           --         Pm3n   223        dik      3     Clathrate
                  Si        1               1         tI4           --       I4/mmm   139          e      1     BCT5
               Si2Ti        2             1:2        oF24          C54         Fddd    70         ae      2     --
                SiU3        2             1:3        tI16          D0c       I4/mcm   140        abh      3     --
               Si2U3        2             2:3        tP10          D5a       P4/mbm   127        agh      3     --
               Si2Zr        2             1:2        oC12          C49         Cmcm    63         c3      3     --
           Sm(alpha)        1               1         hR3          C19          R3m   166         ac      2     --
                  Sn        1               1         tI4           A5      I41/amd   141          a      1     White_(beta)_Tin
                  Te        1               1         mP4           --          P21     4         a2      2     high-pressure_Te
              Te4Ti5        2             4:5        tI18           --         I4/m    87        ah2      3     --
            U(alpha)        1               1         oC4          A20         Cmcm    63          c      1     --
             U(beta)        1               1        tP30           Ab      P42/mnm   136      bfi2j      5     --
               V4Zn5        2             4:5        tI18           --       I4/mmm   139        ahi      3     --
                   W        1               1         cI2           A2         Im3m   229          a      1     bcc
